country,oecd_ai,oxford_ai,AI_INDEX,rank,rule_of_law,regulatory_quality,government_effectiveness,control_of_corruption,LEGAL_WGI_SCORE,PQC,SCI_PLUS_SCORE
Kazakhstan,0.6497215065761489,0.6366357313580674,0.6431786189671082,45,0.43151707632592,0.4996826502894011,0.5209712014847659,0.4589937374606411,0.477791166390182,0.7699660152931181,0.6303119335501361
Albania,0.463906902569919,0.4287375379513792,0.4463222202606491,46,0.4937509583376482,0.5209616256521169,0.5581594370732343,0.3777313623866498,0.4876508458624123,0.955819881053526,0.6299309823921958
Bahrain,0.6553403461800812,0.6380568893865334,0.6466986177833073,47,0.5615197703770355,0.7164053519575176,0.6228221146155958,0.5327855623788285,0.6083831998322443,0.6017417162276976,0.6189411779477497
Oman,0.660066458066034,0.6426002885381453,0.6513333733020896,48,0.6281011841782475,0.6533629579186196,0.615468245666464,0.5909591805626777,0.6219728920815022,0.5751911639762107,0.6161658097866008
Rwanda,0.58748710070325,0.56544863375035,0.5764678672268,49,0.5455117077660289,0.5530840966535088,0.5663714808711007,0.6181280843910484,0.5707738424204216,0.6460280373831776,0.5977565823434664
Mauritius,0.5971818908090518,0.5726836200770871,0.5849327554430694,50,0.6728772032952928,0.7139484981887754,0.659902814449661,0.5526412159451819,0.6498424329697279,0.5486406117247239,0.5944719333791738
Azerbaijan,0.5891487016563157,0.5656208953295581,0.5773847984929369,51,0.4069534909586277,0.5207597052850466,0.5253180446298535,0.296320119943122,0.4373378402041625,0.7610450297366185,0.5919225561445726
Peru,0.6813279562859037,0.659740315669344,0.6705341359776238,52,0.4021261545092612,0.5082632940806378,0.442997246069521,0.3088857758756372,0.4155681176337643,0.681393372982158,0.5891652088645153
Dominican Republic,0.5119197414988065,0.4818371697422536,0.49687845562053,53,0.4786659518807503,0.5381406457540513,0.5047744931658872,0.4134072356388712,0.4837470816098899,0.7787807986406118,0.5864687786236772
Thailand,0.7369413397232913,0.7082965483086068,0.7226189440159491,54,0.470800041857515,0.51392555869134,0.5449748079303172,0.3532413129720577,0.4707354303628075,0.5486406117247239,0.5806649953678269
Qatar,0.6664088825661427,0.6472513511767619,0.6568301168714523,55,0.6612793215240347,0.7202669380054081,0.7427594501086879,0.6478454257186291,0.6930377838391899,0.3893372982158029,0.5797350663088151
Argentina,0.7133852323319988,0.6878835511724555,0.7006343917522271,56,0.462313437788322,0.4319965197231087,0.5292775524323272,0.399571416380539,0.4557897315810742,0.5751911639762107,0.5772050957698373
Montenegro,0.4234380060204625,0.3951895954006159,0.4093138007105392,57,0.5647009604444827,0.5189420860473505,0.5703214658749387,0.4607528263546575,0.5286793346803573,0.7875955819881053,0.575196239126334
Philippines,0.7324265734189169,0.704054606920609,0.7182405901697629,58,0.3859923206175872,0.5074190197947946,0.5204675038314666,0.3419203849311756,0.438949807293756,0.5486406117247239,0.5686103363960809
North Macedonia,0.39429736535669,0.3646131650911909,0.3794552652239404,59,0.468571339748757,0.5522919161426995,0.4807448337806728,0.3987641228122942,0.4750930531211059,0.8496176720475787,0.568055330130875
Morocco,0.4511023131923206,0.4170668159600353,0.4340845645761779,60,0.434768793892929,0.4819884273114872,0.5276173513117183,0.3552298032887396,0.4499010939512184,0.796516567544605,0.5601674086906671
Georgia,0.4426917212153373,0.4094657737774811,0.4260787474964091,61,0.557031514814525,0.6443713467920515,0.5904838358803152,0.5619708045331229,0.5884643755050036,0.637213254035684,0.5505854590123657
Tunisia,0.430385303565745,0.3985056308003704,0.4144454671830577,62,0.4355517650671972,0.3947819122062721,0.4342528688441563,0.423824298178469,0.4221027110740237,0.796516567544605,0.5443549152672288
