country,AI_INDEX,LEGAL_WGI_SCORE,PQC,RES_INDEX,AI_OBSERVED,LEGAL_OBSERVED,PQC_OBSERVED,RES_OBSERVED,AI_IMPUTED,LEGAL_IMPUTED,PQC_IMPUTED,RES_IMPUTED,OBSERVED_COUNT,CONFIDENCE_SCORE,CONFIDENCE_TIER,AI_NORM,LEGAL_NORM,PQC_NORM,RES_NORM,QSSI_ENTROPY,QSSI_CRITIC,QSSI_PCA,QSSI_SCORE,RANK_ENTROPY,RANK_CRITIC,RANK_PCA
Bhutan,0.3877174839763055,0.6515967997708036,0.5044604927782498,0.4978538531478085,True,True,True,True,False,False,False,False,4,1.0,A,0.4054733398520378,0.6529101846909592,0.5091087596814661,0.6066194023990916,0.5230607600077919,0.5305833599201636,0.5238146392116695,0.5258195863798749,73.0,70.0,77.0
Bolivia (Plurinational State of),0.225132330701489,0.4672230367361789,0.615016992353441,0.354179974671984,True,False,False,False,False,True,True,True,1,0.25,D,0.2327660692973247,0.4443531958935565,0.622668266608487,0.3559270285438891,0.3691653412216035,0.4066753830616941,0.398161315785947,0.3913340133564149,121.0,116.0,119.0
Bosnia and Herzegovina,0.3354885827102261,0.3881540341765276,0.3717077315208156,0.2549432841158808,True,True,True,True,False,False,False,False,4,1.0,A,0.3499928067280248,0.3549131757429771,0.3727500818152067,0.1827718120705635,0.3189595689072202,0.3181701933999199,0.3342443390992095,0.3237913671354498,149.0,160.0,152.0
Botswana,0.3540654446025904,0.5953814693423877,0.477909940526763,0.3168220363280914,True,True,True,True,False,False,False,False,4,1.0,A,0.3697262144118066,0.5893214188848412,0.4818370241082143,0.2907422479482807,0.4222078793634229,0.4263058299063321,0.4449482915599245,0.4311540002765598,102.0,108.0,100.0
Brazil,0.8309191386164575,0.4130226744470213,0.7168649107901445,0.2238163084764187,True,True,True,True,False,False,False,False,4,1.0,A,0.8762675454511877,0.3830436897864854,0.7272826442674811,0.1284592571595965,0.576679646002042,0.5614451609635013,0.6073831036470132,0.5818359702041854,50.0,57.0,48.0
Brunei Darussalam,0.4113295962878027,0.6961439584307305,0.615016992353441,0.4922194845494351,True,True,False,True,False,False,True,False,3,0.75,B,0.4305554791938572,0.7033003330324546,0.622668266608487,0.5967881564267131,0.5602865395266816,0.5758268011985326,0.5718475726367138,0.5693203044539761,58.0,54.0,61.0
Bulgaria,0.6442237510695432,0.4970729169664213,0.8141461342395921,0.2941393556945477,True,True,True,True,False,False,False,False,4,1.0,A,0.6779490018515717,0.4781183099440484,0.8272062834078759,0.2511638979117476,0.5623368880545871,0.5761420389267363,0.6016309224093009,0.5800366164635414,57.0,53.0,51.0
Burkina Faso,0.2873107980107238,0.3457137059670255,0.2477697536108751,0.3964978220282902,True,True,True,True,False,False,False,False,4,1.0,A,0.2988156018650487,0.3069061984525858,0.2454456201592669,0.4297662101873331,0.3204926192775459,0.3169928518008671,0.3060358281324323,0.3145070997369484,148.0,162.0,160.0
Burundi,0.0909125580383334,0.2267693547307254,0.0088147833474936,0.2993663040932398,True,True,True,True,False,False,False,False,4,1.0,A,0.0901901321701168,0.1723606138747804,0.0,0.2602842482216841,0.1321512853557031,0.123317852657425,0.1140812575306454,0.1231834651812578,193.0,193.0,193.0
Cabo Verde,0.3131951075720809,0.5983001913788477,0.615016992353441,0.2561043729188966,True,True,False,True,False,False,True,False,3,0.75,B,0.3263113993870952,0.5926229725822966,0.622668266608487,0.1847977621693053,0.4048323262471787,0.4259857815552862,0.4490694709247082,0.4266291929090577,109.0,109.0,98.0
Cambodia,0.3249565887217305,0.3055012264081449,0.2124044180118946,0.3840682768923968,True,True,True,True,False,False,False,False,4,1.0,A,0.338805118931113,0.2614192836614489,0.2091196683756954,0.4080782582150348,0.3153058192841262,0.3050509669886305,0.2966776602782753,0.305678148850344,152.0,164.0,163.0
