country,AI_INDEX,LEGAL_WGI_SCORE,PQC,RES_INDEX,AI_OBSERVED,LEGAL_OBSERVED,PQC_OBSERVED,RES_OBSERVED,AI_IMPUTED,LEGAL_IMPUTED,PQC_IMPUTED,RES_IMPUTED,OBSERVED_COUNT,CONFIDENCE_SCORE,CONFIDENCE_TIER,AI_NORM,LEGAL_NORM,PQC_NORM,RES_NORM
Montenegro,0.4093138007105392,0.5286793346803573,0.7875955819881053,0.3333746476230859,True,True,True,True,False,False,False,False,4,1.0,A,0.42841418556935895,0.5138703562037621,0.799934547834624,0.31962441820125986
Morocco,0.4340845645761779,0.4499010939512184,0.796516567544605,0.2001909856827422,True,True,True,True,False,False,False,False,4,1.0,A,0.4547271110156237,0.4247592354086593,0.8090978509872369,0.0872361182210958
Mozambique,0.1701757940696429,0.2754857281360427,0.2743203058623619,0.354179974671984,True,True,True,False,False,False,False,True,3,0.75,B,0.17438808551683146,0.2274668284213415,0.2727173557325188,0.3559270285438891
Myanmar,0.1148774880758125,0.1413759290844218,0.3982582837723025,0.3698399394553571,True,True,True,True,False,False,False,False,4,1.0,A,0.11564705472694888,0.07576663313282725,0.40002181738845866,0.38325164584858074
Namibia,0.3713029329026881,0.5334794626326764,0.615016992353441,0.2090060451571411,True,True,False,True,False,False,True,False,3,0.75,B,0.3880368626817419,0.5193000888029168,0.622668266608487,0.10261725923820629
Nauru,0.1213986273286956,0.5061455163677087,0.0972812234494477,0.354179974671984,True,True,True,False,False,False,False,True,3,0.75,B,0.12257418268782087,0.48838090902840015,0.09086942293007524,0.3559270285438891
Nepal,0.4195563972366614,0.356052234405786,0.615016992353441,0.4445753857549452,True,True,False,True,False,False,True,False,3,0.75,B,0.43929445879104523,0.31860077106582296,0.622668266608487,0.5136553534865306
Netherlands,0.9102167307466248,0.905486435430314,0.8230671197960918,0.354179974671984,True,True,True,False,False,False,False,True,3,0.75,B,0.9605019938156891,0.9401010356477367,0.8363695865604887,0.3559270285438891
New Zealand,0.7427354269507555,0.9170317897565512,0.6460280373831776,0.4102926180501374,True,True,True,True,False,False,False,False,4,1.0,A,0.7825937514890532,0.9531607264261198,0.6545216537580452,0.4538363487417613
Nicaragua,0.1542887277258097,0.1964772709589441,0.1769328802039082,0.3890415032781305,True,True,True,True,False,False,False,False,4,1.0,A,0.15751193286636633,0.13809529503624832,0.1726846296498309,0.41675589636043153
Niger,0.0923239782444772,0.3128209392553556,0.615016992353441,0.3540554781011742,True,True,False,True,False,False,True,False,3,0.75,B,0.0916894236275406,0.2696990803372332,0.622668266608487,0.355709798096683
Nigeria,0.5835579640472963,0.2750575090100442,0.5751911639762107,0.2713867808869889,True,True,True,True,False,False,False,False,4,1.0,A,0.6135063250042221,0.22698244230265643,0.5817606632486091,0.21146359156284672
North Macedonia,0.3794552652239404,0.4750930531211059,0.8496176720475787,0.354179974671984,True,True,True,False,False,False,False,True,3,0.75,B,0.39669673743351935,0.45325547619641265,0.8636413221337406,0.3559270285438891
