country,PC1,PC2,PC3
azerbaijan,-0.014684223562511941,0.006938825614288958,0.04872644760838928
bahamas,-0.014311809953602827,0.0038001611867060987,-0.005182156451246649
bahrain,-0.01478823539932463,0.007815426910379638,0.06378264532542562
bangladesh,-0.014526598686601945,0.005610379018660922,0.025909512829147902
barbados,-0.014310746351308174,0.003791197253575136,-0.005336117836136164
belarus,-0.014163418914604077,0.002549536439555417,-0.026662450339577135
belgium,-0.015395250607967759,0.012931290017398737,0.15165092338533323
belize,-0.014148526433650738,0.0024240241084039936,-0.028818206305452967
benin,-0.014562092434125115,0.005909516751782179,0.031047398062246833
bhutan,-0.014622796246670284,0.006421122376539775,0.039834557599712814
bolivia (plurinational state of),-0.014266106282131123,0.0034149752417607358,-0.011797975719121574
bosnia and herzegovina,-0.014068826155037302,0.0017523181788457517,-0.040355192764674884
botswana,-0.014377598304950332,0.004354618792937489,0.004341013754368608
brazil,-0.014777981206857823,0.007729005607937374,0.06229830321649045
brunei darussalam,-0.014750528979668128,0.007497640999134239,0.058324465497564225
bulgaria,-0.0147846789267935,0.007785453317701789,0.06326782936558138
burkina faso,-0.01402136545271046,0.0013523241546270683,-0.04722535043056832
burundi,-0.0134939050660314,-0.0030930589168403633,-0.12357769755857921
cabo verde,-0.014379930171511002,0.0043742715297031606,0.004678562297525461
cambodia,-0.013992027892701712,0.0011050701505071286,-0.051472098854236675
cameroon,-0.014102806711943073,0.0020387028936847476,-0.03543634891972243
canada,-0.015529860912684098,0.014065772122488432,0.17113639181533094
central african republic,-0.0138059895738016,-0.0004628420839826713,-0.07840201181548404
chad,-0.013778967444761727,-0.0006905818688509964,-0.08231359082444105
chile,-0.01503299694413379,0.00987825258472341,0.09921301868582019
china,-0.014991451514610269,0.00952811188455918,0.0931991243030895
colombia,-0.014538810082828833,0.005713295437480106,0.02767716929621142
comoros,-0.01396921211826064,0.0009127810989987559,-0.05477478844783266
congo,-0.013890455233038765,0.00024902599403035883,-0.06617521432064882
costa rica,-0.014507300618094804,0.005447736838849487,0.023116027549932177
croatia,-0.014807767014771307,0.007980037400300476,0.06660993761166696
cuba,-0.014215343343763728,0.0029871503044282075,-0.019146147428978237
cyprus,-0.015133561195053042,0.0107257979737637,0.11377016229085661
czechia,-0.015024550277985533,0.009807064932239776,0.09799032442836793
côte d'ivoire,-0.014490851418388826,0.005309104638671324,0.02073492929564184
democratic people's republic of korea,-0.014136529645050498,0.002322916381070649,-0.030554797319223906
democratic republic of the congo,-0.014260641839111524,0.0033689214657658005,-0.012588979291769862
denmark,-0.015839736121011673,0.016677369201919947,0.21599227117634887
djibouti,-0.014007666322262356,0.0012368692614714992,-0.04920836335389137
dominica,-0.014187251099040364,0.002750391692243082,-0.02321263066618945
dominican republic,-0.014603448236581282,0.006258059294101011,0.0370338430439663
ecuador,-0.014273776109723548,0.0034796157770530835,-0.010687732460028816
egypt,-0.014760705151594854,0.00758340475231432,0.0597975137700149
el salvador,-0.014368884439640585,0.004281179212803535,0.0030796411740586496
equatorial guinea,-0.013853436319435213,-6.296568537034371e-05,-0.07153387444592574
eritrea,-0.013734045637113801,-0.001069178344152398,-0.08881623166302052
estonia,-0.015424197337992487,0.013175250145734518,0.1558410973488875
eswatini,-0.013905199425850452,0.00037328856764313155,-0.064040923753791
ethiopia,-0.014359468683934137,0.004201824171022968,0.0017166666904248934
fiji,-0.01430395225413335,0.003733937286135641,-0.006319595039381045
finland,-0.01555264222430977,0.014257770724855913,0.17443409275591956
france,-0.01547585158974201,0.013610586982577132,0.1633182908212703
gabon,-0.014138431011558067,0.0023389409067011368,-0.030279565663406935
gambia (republic of the),-0.0142294575137484,0.0031061031090411006,-0.01710305560007631
georgia,-0.014623535796831033,0.006427355230888885,0.03994161092924836
germany,-0.015606978591891455,0.014715712164085976,0.1822995349844681
ghana,-0.014560324888001535,0.005894620050884371,0.030791537530156367
greece,-0.015075009145511084,0.01023232719110962,0.10529448046794052
grenada,-0.014221944682028163,0.0030427857191643063,-0.018190572975607396
guatemala,-0.013825270376752638,-0.0003003454165409888,-0.07561102580591236
guinea,-0.013683687416404319,-0.001493592361782441,-0.09610581860729839
