country,AI_INDEX,LEGAL_WGI_SCORE,PQC,RES_INDEX,AI_OBSERVED,LEGAL_OBSERVED,PQC_OBSERVED,RES_OBSERVED,AI_IMPUTED,LEGAL_IMPUTED,PQC_IMPUTED,RES_IMPUTED,OBSERVED_COUNT,CONFIDENCE_SCORE,CONFIDENCE_TIER,AI_NORM,LEGAL_NORM,PQC_NORM,RES_NORM,QSSI_ENTROPY,QSSI_CRITIC,QSSI_PCA,QSSI_SCORE
Egypt,0.7068441861169577,0.4672230367361789,0.6460280373831776,0.354179974671984,True,False,True,False,False,True,False,True,2,0.5,C,0.744468017888092,0.4443531958935565,0.6545216537580452,0.3559270285438891,0.5764765588227403,0.568499173005498,0.5899401491833657,0.5783052936705346
El Salvador,0.3990931516101961,0.3969775670809071,0.615016992353441,0.3408857799468186,True,True,False,True,False,False,True,False,3,0.75,B,0.4175572261615459,0.3648940397379621,0.622668266608487,0.3327303746392211,0.4184528192071575,0.44018923348025496,0.4400812074618864,0.4329077533830996
Equatorial Guinea,0.0560676603138352,0.1671001434614802,0.615016992353441,0.354179974671984,True,True,False,False,False,False,True,True,2,0.5,C,0.0531758842050268,0.1048649419233824,0.622668266608487,0.3559270285438891,0.21754259194039205,0.28202486099753393,0.24151265774232566,0.24702670356008388
Eritrea,0.0060083359076905,0.088856877889039,0.615016992353441,0.354179974671984,True,True,False,False,False,False,True,True,2,0.5,C,0.0,0.0163589658404441,0.622668266608487,0.3559270285438891,0.1754996227970766,0.24762066040609151,0.19838448758924448,0.20716825693080418
Estonia,0.8512163435893891,0.8336284625831961,0.9823704333050128,0.354179974671984,True,True,True,False,False,False,False,True,3,0.75,B,0.897828400179659,0.8588178737085511,1.0,0.3559270285438891,0.7885826242436564,0.790630694385335,0.8385809013152238,0.8059314066480717
Eswatini,0.2420047419047426,0.3150557358363591,0.2300339847068818,0.354179974671984,True,True,True,False,False,False,False,True,3,0.75,B,0.2506889117457074,0.2722270020861715,0.2272281007963345,0.3559270285438891,0.27466282552671273,0.2734771282776378,0.2651273416232722,0.27108909847587426
Ethiopia,0.4576270522875272,0.3197001893962491,0.5929269328802039,0.354179974671984,True,True,True,False,False,False,False,True,3,0.75,B,0.4797352911156993,0.2774806413953509,0.5999781826115413,0.3559270285438891,0.4237675657799565,0.4401117179326755,0.4365783570514624,0.43348588025469814
Fiji,0.3599455796739829,0.581653791059161,0.3274214103653356,0.354179974671984,True,True,True,False,False,False,False,True,3,0.75,B,0.3759724309833572,0.5737931615080496,0.3272608268790226,0.3559270285438891,0.41116612705641553,0.39990694355539175,0.4154341378994541,0.4088357361704204
Finland,0.8135522384731969,0.9584398153347,0.9734494477485132,0.43820065135753,True,True,True,True,False,False,False,False,4,1.0,A,0.8578194285024713,1.0,0.9908366968473872,0.502532264754341,0.8361549777557774,0.8396516590095543,0.8799255417811407,0.8519107261821575
France,0.947399817300537,0.7571854095710073,0.9027187765505524,0.441822938333823,True,True,True,True,False,False,False,False,4,1.0,A,1.0,0.7723482335151776,0.9181847932802444,0.5088526879969311,0.8285539203346031,0.8174642257525038,0.8532513229815225,0.8330898230228765
